model,dataset,seed,weighted_loss,params_M,vram_GB,train_min,best_ep,acc,bal_acc,prec_M,rec_M,f1_M,auc
efficientnet_b0,derma,42,True,4.0,1.57,12.0,15,0.8279,0.8326,0.7256,0.8326,0.7695,0.9762
resnet18,derma,1,True,11.2,0.6,8.5,17,0.8594,0.8304,0.781,0.8304,0.8009,0.9761
resnet18,derma,42,True,11.2,0.6,8.8,18,0.8628,0.8258,0.7833,0.8258,0.8013,0.978
resnet18,derma,42,True,11.2,0.23,10.4,16,0.5905,0.4972,0.3707,0.4972,0.3877,0.877
resnet18,derma,42,True,11.2,0.6,6.2,10,0.8663,0.7705,0.8106,0.7705,0.7829,0.9679
resnet18,derma,42,False,11.2,0.6,9.4,20,0.8878,0.7685,0.8439,0.7685,0.7999,0.9823
vit_b_16,derma,1,True,85.8,2.41,40.4,18,0.819,0.7904,0.7388,0.7904,0.7601,0.9688
vit_b_16,derma,42,True,85.8,2.41,35.7,19,0.8204,0.809,0.7576,0.809,0.7773,0.9714
efficientnet_b0,pneumonia,42,True,4.0,1.57,4.3,7,0.9327,0.9111,0.9497,0.9111,0.9253,0.9906
resnet18,pneumonia,42,True,11.2,0.6,6.1,7,0.9487,0.9333,0.9593,0.9333,0.9438,0.9927
vit_b_16,pneumonia,42,True,85.8,2.41,11.3,9,0.9263,0.9034,0.9439,0.9034,0.918,0.9872
