epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.42327,0.63509,0.50368,0.6456,9.938441702975689e-05,74.3
2,0.86835,0.68594,0.61965,0.75911,9.755282581475769e-05,31.6
3,0.68809,0.72283,0.65425,0.76331,9.45503262094184e-05,30.6
4,0.57689,0.7338,0.63955,0.77683,9.045084971874738e-05,31.7
5,0.50253,0.74676,0.64883,0.74687,8.535533905932738e-05,31.2
6,0.44796,0.78166,0.69365,0.80385,7.938926261462366e-05,31.9
7,0.39347,0.79262,0.72073,0.81879,7.269952498697734e-05,32.1
8,0.37157,0.80658,0.73298,0.80536,6.545084971874738e-05,32.5
9,0.3261,0.82054,0.75408,0.81993,5.782172325201156e-05,33.0
10,0.28476,0.78664,0.72953,0.80251,5.000000000000001e-05,32.3
11,0.26619,0.81157,0.73777,0.81121,4.217827674798848e-05,33.0
12,0.25444,0.81655,0.73655,0.80394,3.454915028125264e-05,32.2
13,0.23683,0.82154,0.76581,0.82501,2.730047501302267e-05,33.0
14,0.22106,0.83051,0.76473,0.81439,2.0610737385376356e-05,32.3
15,0.20447,0.82951,0.78382,0.83634,1.464466094067263e-05,32.9
16,0.1942,0.84048,0.77701,0.8303,9.549150281252635e-06,34.2
17,0.18609,0.8345,0.78071,0.82897,5.4496737905816115e-06,34.1
18,0.18802,0.83549,0.78219,0.83241,2.4471741852423237e-06,33.6
19,0.18257,0.8345,0.77125,0.83006,6.155829702431171e-07,33.1
20,0.17208,0.83151,0.76499,0.81838,0.0,33.2
