epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,0.20696,0.93702,0.92309,0.95517,9.755282581475769e-05,43.7
2,0.08569,0.98473,0.98033,0.9873,9.045084971874737e-05,22.4
3,0.06839,0.98092,0.97552,0.98473,7.938926261462366e-05,22.3
4,0.04825,0.98664,0.98258,0.98375,6.545084971874737e-05,22.2
5,0.04408,0.98473,0.98033,0.9873,4.9999999999999996e-05,22.5
6,0.03242,0.98855,0.98524,0.99229,3.454915028125263e-05,22.6
7,0.02497,0.99046,0.98767,0.99357,2.0610737385376345e-05,22.6
8,0.02349,0.99046,0.98767,0.99357,9.549150281252631e-06,22.9
9,0.01715,0.99046,0.98767,0.99357,2.447174185242323e-06,22.1
10,0.01801,0.98855,0.98524,0.99229,0.0,22.1
