epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.1838,0.63111,0.46552,0.67522,9.938441702975689e-05,50.4
2,0.8101,0.67597,0.55061,0.66712,9.755282581475769e-05,26.9
3,0.68646,0.66102,0.61056,0.72037,9.45503262094184e-05,24.5
4,0.61422,0.68295,0.55205,0.71634,9.045084971874738e-05,24.0
5,0.58084,0.77069,0.67502,0.74941,8.535533905932738e-05,24.3
6,0.49793,0.78066,0.68213,0.76544,7.938926261462366e-05,24.3
7,0.44361,0.75972,0.64139,0.74288,7.269952498697734e-05,24.6
8,0.38314,0.77966,0.63174,0.72522,6.545084971874738e-05,23.7
9,0.36304,0.76969,0.6812,0.77741,5.782172325201156e-05,23.7
10,0.31699,0.81057,0.70516,0.76534,5.000000000000001e-05,23.5
11,0.26553,0.79063,0.70376,0.7587,4.217827674798848e-05,23.6
12,0.22904,0.81954,0.72202,0.78391,3.454915028125264e-05,23.8
13,0.22622,0.80359,0.72766,0.78263,2.730047501302267e-05,23.5
14,0.18961,0.83649,0.74891,0.8013,2.0610737385376356e-05,23.8
15,0.15905,0.84447,0.7466,0.78004,1.464466094067263e-05,23.8
16,0.15747,0.8345,0.74026,0.7786,9.549150281252635e-06,23.4
17,0.13686,0.84746,0.74435,0.7792,5.4496737905816115e-06,23.4
18,0.13606,0.84845,0.7597,0.78587,2.4471741852423237e-06,24.1
19,0.13436,0.84746,0.75401,0.7858,6.155829702431171e-07,23.9
20,0.12464,0.84148,0.75181,0.78655,0.0,24.2
