epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.93364,0.32203,0.15668,0.19331,9.938441702975689e-05,39.6
2,1.783,0.40379,0.20816,0.27548,9.755282581475769e-05,22.4
3,1.6621,0.46162,0.25503,0.32518,9.45503262094184e-05,19.7
4,1.59013,0.5005,0.31492,0.42042,9.045084971874738e-05,19.9
5,1.53733,0.56032,0.35294,0.44809,8.535533905932738e-05,20.2
6,1.48877,0.57428,0.37185,0.46022,7.938926261462366e-05,20.9
7,1.44681,0.55135,0.3584,0.45254,7.269952498697734e-05,19.9
8,1.41078,0.57328,0.39251,0.48961,6.545084971874738e-05,29.3
9,1.41197,0.54337,0.35245,0.46276,5.782172325201156e-05,34.3
10,1.36353,0.57527,0.39722,0.48975,5.000000000000001e-05,34.1
11,1.34781,0.55733,0.37347,0.48226,4.217827674798848e-05,37.1
12,1.33396,0.58524,0.3958,0.49727,3.454915028125264e-05,33.3
13,1.3253,0.55434,0.37355,0.48599,2.730047501302267e-05,33.8
14,1.3181,0.58026,0.3892,0.50049,2.0610737385376356e-05,31.0
15,1.31495,0.57527,0.39148,0.4986,1.464466094067263e-05,31.3
16,1.31709,0.58923,0.40371,0.50131,9.549150281252635e-06,32.5
17,1.28961,0.5653,0.37589,0.49512,5.4496737905816115e-06,35.3
18,1.30676,0.59023,0.39848,0.504,2.4471741852423237e-06,32.5
19,1.29591,0.58824,0.3892,0.50592,6.155829702431171e-07,32.1
20,1.31153,0.57627,0.39057,0.51024,0.0,32.1
