epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.06959,0.72582,0.56382,0.71927,9.938441702975689e-05,71.7
2,0.45138,0.72782,0.66066,0.72169,9.755282581475769e-05,14.6
3,0.24226,0.8006,0.72708,0.73988,9.45503262094184e-05,14.4
4,0.12036,0.81655,0.73504,0.73862,9.045084971874738e-05,14.1
5,0.07976,0.8335,0.73737,0.70742,8.535533905932738e-05,14.3
6,0.03877,0.8345,0.75472,0.75105,7.938926261462366e-05,14.3
7,0.02041,0.8325,0.72811,0.73646,7.269952498697734e-05,14.2
8,0.01323,0.83549,0.73936,0.73825,6.545084971874738e-05,14.3
9,0.00861,0.83549,0.76006,0.75866,5.782172325201156e-05,14.2
10,0.00589,0.84945,0.77606,0.76626,5.000000000000001e-05,14.2
11,0.00443,0.84048,0.7576,0.74103,4.217827674798848e-05,14.6
12,0.00363,0.84845,0.7639,0.73936,3.454915028125264e-05,14.4
13,0.00299,0.84546,0.76492,0.7468,2.730047501302267e-05,14.2
14,0.00233,0.84148,0.76184,0.7468,2.0610737385376356e-05,14.3
15,0.00184,0.84546,0.75885,0.74332,1.464466094067263e-05,14.4
16,0.00224,0.84845,0.76005,0.74349,9.549150281252635e-06,17.7
17,0.0021,0.84845,0.75789,0.74026,5.4496737905816115e-06,15.1
18,0.002,0.84845,0.76538,0.7464,2.4471741852423237e-06,15.0
19,0.00183,0.84247,0.74988,0.73075,6.155829702431171e-07,15.0
20,0.00144,0.84447,0.75773,0.74048,0.0,15.2
