epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,0.75283,0.80558,0.60258,0.60769,9.938441702975689e-05,36.9
2,0.53464,0.81555,0.63076,0.61072,9.755282581475769e-05,31.3
3,0.45057,0.80459,0.70056,0.7095,9.45503262094184e-05,29.8
4,0.40366,0.81954,0.67837,0.6909,9.045084971874738e-05,30.4
5,0.35786,0.85344,0.73893,0.71062,8.535533905932738e-05,30.7
6,0.32184,0.8335,0.70176,0.65682,7.938926261462366e-05,26.4
7,0.28357,0.83948,0.69809,0.69808,7.269952498697734e-05,26.4
8,0.24803,0.85842,0.73926,0.70131,6.545084971874738e-05,25.6
9,0.21574,0.84945,0.70963,0.65985,5.782172325201156e-05,25.4
10,0.19064,0.86241,0.74698,0.71125,5.000000000000001e-05,25.6
11,0.16117,0.86042,0.7681,0.75517,4.217827674798848e-05,26.3
12,0.13219,0.84945,0.73851,0.75029,3.454915028125264e-05,25.5
13,0.12114,0.86142,0.74912,0.73567,2.730047501302267e-05,25.6
14,0.0957,0.8664,0.76263,0.74675,2.0610737385376356e-05,25.6
15,0.0859,0.87338,0.76298,0.7227,1.464466094067263e-05,25.7
16,0.07485,0.87537,0.77784,0.7533,9.549150281252635e-06,25.4
17,0.06328,0.87039,0.76256,0.74081,5.4496737905816115e-06,25.2
18,0.06544,0.87836,0.779,0.73814,2.4471741852423237e-06,25.3
19,0.06556,0.87537,0.77135,0.74659,6.155829702431171e-07,25.2
20,0.0579,0.87238,0.78005,0.74424,0.0,25.3
