epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.4988,0.55633,0.42799,0.5139,9.938441702975689e-05,99.5
2,1.22082,0.46361,0.39344,0.50398,9.755282581475769e-05,95.2
3,1.10356,0.63111,0.52774,0.59112,9.45503262094184e-05,96.9
4,0.98905,0.71785,0.56213,0.61308,9.045084971874738e-05,103.9
5,0.92598,0.64108,0.54508,0.68815,8.535533905932738e-05,105.8
6,0.92809,0.70489,0.60824,0.70769,7.938926261462366e-05,119.2
7,0.84582,0.72881,0.62156,0.66619,7.269952498697734e-05,105.7
8,0.74133,0.71087,0.64383,0.73496,6.545084971874738e-05,102.4
9,0.67928,0.69192,0.65679,0.73994,5.782172325201156e-05,103.0
10,0.57106,0.71884,0.65651,0.67175,5.000000000000001e-05,102.7
11,0.57362,0.76171,0.67229,0.69248,4.217827674798848e-05,102.5
12,0.46331,0.74975,0.66259,0.76408,3.454915028125264e-05,102.3
13,0.40561,0.81854,0.7576,0.7715,2.730047501302267e-05,102.4
14,0.32898,0.76171,0.72351,0.76928,2.0610737385376356e-05,102.5
15,0.2882,0.79462,0.72362,0.75589,1.464466094067263e-05,102.1
16,0.23601,0.83948,0.76101,0.77091,9.549150281252635e-06,102.8
17,0.20457,0.81755,0.76,0.78328,5.4496737905816115e-06,102.9
18,0.16822,0.82253,0.75804,0.77847,2.4471741852423237e-06,101.4
19,0.15526,0.82253,0.76274,0.78657,6.155829702431171e-07,101.4
20,0.14278,0.82552,0.76191,0.77704,0.0,101.8
