epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,0.19903,0.96947,0.96119,0.9746,9.755282581475769e-05,62.9
2,0.12382,0.96947,0.95887,0.94558,9.045084971874737e-05,62.0
3,0.10553,0.97328,0.96524,0.9675,7.938926261462366e-05,61.8
4,0.08576,0.95229,0.94103,0.96787,6.545084971874737e-05,62.2
5,0.07132,0.96374,0.95442,0.97316,4.9999999999999996e-05,62.8
6,0.05146,0.89313,0.87533,0.92802,3.454915028125263e-05,64.3
7,0.04445,0.98092,0.97541,0.98231,2.0610737385376345e-05,67.5
8,0.03792,0.98473,0.98033,0.9873,9.549150281252631e-06,68.4
9,0.02169,0.98664,0.98274,0.98858,2.447174185242323e-06,67.5
10,0.01617,0.98664,0.98266,0.98617,0.0,66.7
