epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,0.13248,0.97901,0.97263,0.97377,9.755282581475769e-05,15.4
2,0.08154,0.97519,0.96667,0.95427,9.045084971874737e-05,14.1
3,0.0583,0.9771,0.97049,0.97732,7.938926261462366e-05,13.9
4,0.05386,0.98282,0.97749,0.97634,6.545084971874737e-05,14.2
5,0.03116,0.98473,0.97995,0.97763,4.9999999999999996e-05,14.3
6,0.0322,0.96183,0.95232,0.97429,3.454915028125263e-05,14.4
7,0.02296,0.99046,0.9875,0.98632,2.0610737385376345e-05,14.5
8,0.01696,0.98092,0.97541,0.98231,9.549150281252631e-06,14.6
9,0.01267,0.98664,0.9825,0.98133,2.447174185242323e-06,14.5
10,0.01257,0.98664,0.9825,0.98133,0.0,14.1
